name,bus,type,build_year,p_nom,carrier,address,province,capital_cost,company,membership,market,control,state_of_charge_initial,cyclic_state_of_charge,max_hours,efficiency_store,x,y
무주양수_1,KR,PSH,1995,300,PSH,전북 무주군 적상면,전북특별자치도,453972000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,127.6671,35.93518
무주양수_2,KR,PSH,1995,300,PSH,전북 무주군 적상면,전북특별자치도,453972000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,127.6671,35.93518
산청양수_1,KR,PSH,2001,350,PSH,경남 산청군 시천면,경상남도,892108000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,127.8390416,35.2771144
산청양수_2,KR,PSH,2001,350,PSH,경남 산청군 시천면,경상남도,892108000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,127.8390416,35.2771144
삼랑진양수_1,KR,PSH,1985,300,PSH,경남 밀양시 삼랑진읍,경상남도,257562000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.83679,35.42599
삼랑진양수_2,KR,PSH,1985,300,PSH,경남 밀양시 삼랑진읍,경상남도,257562000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.83679,35.42599
양양양수_1,KR,PSH,2006,250,PSH,강원 양양군 서면,강원특별자치도,829360000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.5865847,38.0715701
양양양수_2,KR,PSH,2006,250,PSH,강원 양양군 서면,강원특별자치도,829360000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.5865847,38.0715701
양양양수_3,KR,PSH,2006,250,PSH,강원 양양군 서면,강원특별자치도,829360000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.5865847,38.0715701
양양양수_4,KR,PSH,2006,250,PSH,강원 양양군 서면,강원특별자치도,829360000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.5865847,38.0715701
예천양수#1,KR,PSH,2011,400,PSH,경북 예천군 용문면,경상북도,866528000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.39906,36.69854
예천양수#2,KR,PSH,2011,400,PSH,경북 예천군 용문면,경상북도,866528000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.39906,36.69854
청송양수_1,KR,PSH,2006,300,PSH,경북 청송군 파천면,경상북도,709000000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,129.0218,36.45991
청송양수_2,KR,PSH,2006,300,PSH,경북 청송군 파천면,경상북도,709000000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,129.0218,36.45991
청평양수_1,KR,PSH,1979,200,PSH,경남 밀양시 삼랑진읍,경상남도,183365000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.83679,35.42599
청평양수_2,KR,PSH,1980,200,PSH,경남 밀양시 삼랑진읍,경상남도,183365000,한수원,정회원,시장,중앙,0.5,TRUE,6,0.6,128.83679,35.42599
영동양수#1,KR,PSH,2030,250,PSH,충북 영동군 양강면 산막리,충청북도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.7549875,36.1298458
영동양수#2,KR,PSH,2030,250,PSH,충북 영동군 양강면 산막리,충청북도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.7549875,36.1298458
홍천양수#1,KR,PSH,2032,300,PSH,강원 홍천군 화촌면 풍천리,강원특별자치도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.8935221,37.8291479
홍천양수#2,KR,PSH,2032,300,PSH,강원 홍천군 화촌면 풍천리,강원특별자치도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.8935221,37.8291479
포천양수#1,KR,PSH,2033,350,PSH,경기 포천시 이동면 도평리,경기도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.3855122,38.057145
포천양수#2,KR,PSH,2033,350,PSH,경기 포천시 이동면 도평리,경기도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.3855122,38.057145
구례양수,KR,PSH,2034,500,PSH,전남 구례군 문척면,전라남도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.4837237,35.1923736
합천양수,KR,PSH,2034,900,PSH,경남 합천군 묘산면,경상남도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,128.116152,35.65825
영양양수,KR,PSH,2036,1000,PSH,경북 영양군 일월면,경상북도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,129.12907,36.73937
봉화양수,KR,PSH,2036,500,PSH,경북 봉화군 소천면,경상북도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,128.9971255,36.9020803
곡성양수,KR,PSH,2037,500,PSH,전남 곡성군 죽곡면 고치리,전라남도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.3643262,35.1658519
금산양수,KR,PSH,2037,500,PSH,충남 금산군 부리면 방우리,충청남도,,한수원㈜,정회원,시장,중앙,0.5,TRUE,6,0.6,127.5771094,36.0587048